price,num_of_doors,num_of_seats,year_of_manufacture,brand_enc,model_enc,color_Biały,color_Bordowy,color_Brązowy,color_Błękitny,color_Czarny,color_Czerwony,color_Granatowy,color_Inny kolor,color_Niebieski,color_Srebrny,color_Szary,color_Zielony,color_Złoty
0.22549019607843135,0.9999999999999999,0.6,0.6521739130434838,1.0,0.8787878787878789,False,False,False,True,False,False,False,False,False,False,False,False,False
0.1568627450980392,0.9999999999999999,0.6,0.5217391304347814,0.37037037037037035,1.0,False,False,False,False,False,False,False,False,False,True,False,False,False
0.04411764705882353,0.9999999999999999,0.6,0.21739130434782794,0.037037037037037035,0.10101010101010102,False,False,False,False,True,False,False,False,False,False,False,False,False
0.06421078431372548,0.9999999999999999,0.4,0.4782608695652186,0.037037037037037035,0.12121212121212122,False,False,False,False,True,False,False,False,False,False,False,False,False
0.1426470588235294,0.0,0.4,0.4782608695652186,0.5555555555555556,0.31313131313131315,False,False,False,False,False,False,False,False,False,False,True,False,False
0.15240196078431373,0.6666666666666666,0.6,0.2608695652173907,0.4074074074074074,0.9393939393939394,False,False,False,False,False,False,True,False,False,False,False,False,False
0.1338235294117647,0.6666666666666666,0.6,0.4782608695652186,0.7407407407407407,0.16161616161616163,False,False,False,False,True,False,False,False,False,False,False,False,False
0.6720588235294118,0.9999999999999999,0.6,0.7826086956521721,0.037037037037037035,0.12121212121212122,False,False,False,False,False,True,False,False,False,False,False,False,False
0.06862745098039216,0.9999999999999999,0.6,0.6086956521739069,0.18518518518518517,0.23232323232323235,False,False,False,False,False,False,False,False,False,False,True,False,False
0.0446078431372549,0.9999999999999999,0.6,0.30434782608695343,0.2962962962962963,0.37373737373737376,False,False,False,False,True,False,False,False,False,False,False,False,False
0.0,0.9999999999999999,0.6,0.0,1.0,0.8787878787878789,False,False,False,False,True,False,False,False,False,False,False,False,False
0.5,0.6666666666666666,0.6,0.5217391304347814,0.037037037037037035,0.14141414141414144,False,False,False,False,True,False,False,False,False,False,False,False,False
0.020098039215686272,0.9999999999999999,0.6,0.9565217391304373,0.37037037037037035,0.8686868686868687,True,False,False,False,False,False,False,False,False,False,False,False,False
0.15196078431372548,0.9999999999999999,0.6,0.6521739130434838,0.7407407407407407,0.16161616161616163,False,False,False,False,False,False,False,False,False,False,False,True,False
0.678921568627451,0.9999999999999999,0.6,1.0,0.2222222222222222,0.393939393939394,False,False,False,False,True,False,False,False,False,False,False,False,False
0.16176470588235295,0.9999999999999999,0.6,0.5217391304347814,0.037037037037037035,0.08080808080808081,False,False,False,False,False,True,False,False,False,False,False,False,False
0.06862745098039216,0.9999999999999999,0.6,0.3478260869565162,0.9259259259259258,0.17171717171717174,False,False,False,False,False,False,False,True,False,False,False,False,False
0.2593137254901961,0.6666666666666666,0.6,0.4347826086956559,0.07407407407407407,0.787878787878788,False,False,False,False,False,False,False,False,False,True,False,False,False
0.7504901960784314,0.9999999999999999,1.0,0.8695652173912976,0.14814814814814814,0.6161616161616162,True,False,False,False,False,False,False,False,False,False,False,False,False
0.10832843137254902,0.9999999999999999,0.6,0.4347826086956559,0.2962962962962963,0.20202020202020204,False,False,False,False,True,False,False,False,False,False,False,False,False
0.5588235294117647,0.9999999999999999,0.6,0.7826086956521721,1.0,0.9191919191919192,False,False,False,False,False,False,False,False,True,False,False,False,False
0.5145686274509804,0.9999999999999999,0.6,1.0,0.9259259259259258,0.32323232323232326,True,False,False,False,False,False,False,False,False,False,False,False,False
0.0980392156862745,0.9999999999999999,0.6,0.4782608695652186,0.48148148148148145,0.686868686868687,False,False,False,False,True,False,False,False,False,False,False,False,False
0.16225,0.9999999999999999,0.6,0.4782608695652186,0.8518518518518519,0.5151515151515152,False,False,False,False,False,False,False,False,False,False,True,False,False
0.19117647058823528,0.9999999999999999,0.6,0.5217391304347814,0.37037037037037035,1.0,False,False,False,False,True,False,False,False,False,False,False,False,False
0.03921568627450981,0.33333333333333337,0.6,0.39130434782609314,0.6666666666666666,0.30303030303030304,False,False,False,False,False,False,False,False,False,True,False,False,False
0.2642156862745098,0.9999999999999999,0.6,0.5217391304347814,0.9629629629629629,0.4444444444444445,False,False,False,False,False,True,False,False,False,False,False,False,False
0.5811274509803922,0.9999999999999999,0.6,1.0,0.8888888888888888,0.4747474747474748,False,False,False,False,False,False,False,False,True,False,False,False,False
0.7848039215686274,0.9999999999999999,0.6,1.0,0.2222222222222222,0.8383838383838385,False,False,False,False,False,False,False,False,True,False,False,False,False
0.3323529411764706,0.9999999999999999,0.6,0.6956521739130466,0.7777777777777777,0.04040404040404041,False,False,False,False,True,False,False,False,False,False,False,False,False
0.1372549019607843,0.9999999999999999,0.6,0.4782608695652186,0.37037037037037035,0.9797979797979799,False,False,False,False,True,False,False,False,False,False,False,False,False
0.13284313725490196,0.6666666666666666,0.6,0.6521739130434838,0.2962962962962963,0.38383838383838387,False,False,False,False,False,False,False,False,True,False,False,False,False
0.010294117647058822,0.33333333333333337,0.6,0.08695652173912549,0.037037037037037035,0.09090909090909091,False,False,False,False,False,False,False,False,False,True,False,False,False
0.346078431372549,0.9999999999999999,0.6,0.6521739130434838,0.6296296296296295,0.4141414141414142,False,False,False,False,False,False,False,False,False,False,False,True,False
0.22597549019607843,0.9999999999999999,0.6,0.5652173913043441,0.07407407407407407,0.8989898989898991,False,False,False,False,True,False,False,False,False,False,False,False,False
